code_client,nom_client,type_client,telephone,email,ville,region
C0001,District Sanitaire de Dunkerque,district_sanitaire,+33 3 22 77 16 63,contact1@sante-dunkerque.fr,Dunkerque,Hauts-de-France
C0002,District Sanitaire de Aix-en-Provence,district_sanitaire,0177827391,contact2@sante-aix-en-provence.fr,Aix-en-Provence,Provence-Alpes-Cote-d-Azur
C0003,Clinique Saint-Nazaire 3,clinique,+33 3 81 39 72 38,contact3@sante-saint-nazaire.fr,Saint-Nazaire,Pays de la Loire
C0004,Hôpital Guillaume de Albi,hopital,+33 (0)1 45 14 92 21,contact4@sante-albi.fr,Albi,Occitanie
C0005,Hôpital Daniel de Nancy,hopital,+33 (0)2 78 71 99 78,contact5@sante-nancy.fr,Nancy,Grand Est
C0006,Clinique Valenciennes 6,clinique,+33 3 21 98 64 64,contact6@sante-valenciennes.fr,Valenciennes,Hauts-de-France
C0007,Hôpital Grondin de Quimper,hopital,07 94 05 48 04,contact7@sante-quimper.fr,Quimper,Bretagne
C0008,District Sanitaire de Perpignan,district_sanitaire,+33 4 49 06 44 77,contact8@sante-perpignan.fr,Perpignan,Occitanie
C0009,Hôpital Bernard de Paris,hopital,0631042790,contact9@sante-paris.fr,Paris,Île-de-France
C0010,Hôpital Legros de Amiens,hopital,+33 4 74 09 25 26,contact10@sante-amiens.fr,Amiens,Hauts-de-France
C0011,Clinique Roubaix 11,clinique,0532885920,contact11@sante-roubaix.fr,Roubaix,Hauts-de-France
C0012,Clinique Lyon 12,clinique,0472275157,contact12@sante-lyon.fr,Lyon,Auvergne-Rhône-Alpes
C0013,Hôpital Caron de Mâcon,hopital,0637941469,contact13@sante-mâcon.fr,Mâcon,Bourgogne-Franche-Comté
C0014,District Sanitaire de Pau,district_sanitaire,+33 2 47 31 23 55,contact14@sante-pau.fr,Pau,Nouvelle-Aquitaine
C0015,District Sanitaire de Besançon,district_sanitaire,+33 (0)2 41 97 49 25,contact15@sante-besançon.fr,Besançon,Bourgogne-Franche-Comté
C0016,Hôpital Traore de Quimper,hopital,02 21 49 86 83,contact16@sante-quimper.fr,Quimper,Bretagne
C0017,Clinique Marseille 17,clinique,0426365775,contact17@sante-marseille.fr,Marseille,Provence-Alpes-Cote-d-Azur
C0018,Hôpital Étienne de Saint-Denis,hopital,+33 1 55 66 17 27,contact18@sante-saint-denis.fr,Saint-Denis,Île-de-France
C0019,Clinique Mulhouse 19,clinique,0488969608,contact19@sante-mulhouse.fr,Mulhouse,Grand Est
C0020,District Sanitaire de Cherbourg,district_sanitaire,02 96 38 83 97,contact20@sante-cherbourg.fr,Cherbourg,Normandie
C0021,Clinique Blois 21,clinique,+33 (0)2 72 61 51 91,contact21@sante-blois.fr,Blois,Centre-Val de Loire
C0022,Hôpital Carpentier de Saint-Étienne,hopital,+33 6 19 15 20 37,contact22@sante-saint-étienne.fr,Saint-Étienne,Auvergne-Rhône-Alpes
C0023,District Sanitaire de Reims,district_sanitaire,02 58 32 07 28,contact23@sante-reims.fr,Reims,Grand Est
C0024,Hôpital Salmon de Angers,hopital,03 72 95 58 83,contact24@sante-angers.fr,Angers,Pays de la Loire
C0025,Hôpital Fabre de Marseille,hopital,02 31 78 62 57,contact25@sante-marseille.fr,Marseille,Provence-Alpes-Cote-d-Azur
C0026,Clinique Avignon 26,clinique,0248677507,contact26@sante-avignon.fr,Avignon,Provence-Alpes-Cote-d-Azur
C0027,Clinique Rennes 27,clinique,+33 1 47 17 98 55,contact27@sante-rennes.fr,Rennes,Bretagne
C0028,Hôpital Aubert de Roubaix,hopital,0310413015,contact28@sante-roubaix.fr,Roubaix,Hauts-de-France
C0029,Hôpital Allard de Reims,hopital,01 72 60 60 12,contact29@sante-reims.fr,Reims,Grand Est
C0030,District Sanitaire de Rennes,district_sanitaire,0142199612,contact30@sante-rennes.fr,Rennes,Bretagne
C0031,Clinique Brest 31,clinique,02 50 78 81 26,contact31@sante-brest.fr,Brest,Bretagne
C0032,Hôpital Duval de Reims,hopital,04 73 20 16 09,contact32@sante-reims.fr,Reims,Grand Est
C0033,Clinique Grenoble 33,clinique,04 97 98 70 08,contact33@sante-grenoble.fr,Grenoble,Auvergne-Rhône-Alpes
C0034,District Sanitaire de Montpellier,district_sanitaire,02 54 10 76 06,contact34@sante-montpellier.fr,Montpellier,Occitanie
C0035,Hôpital Bertin de Bordeaux,hopital,+33 5 31 39 08 41,contact35@sante-bordeaux.fr,Bordeaux,Nouvelle-Aquitaine
C0036,Clinique Blois 36,clinique,+33 (0)2 35 00 81 58,contact36@sante-blois.fr,Blois,Centre-Val de Loire
C0037,Clinique Alençon 37,clinique,+33 2 43 42 42 62,contact37@sante-alençon.fr,Alençon,Normandie
C0038,District Sanitaire de Chartres,district_sanitaire,0360553548,contact38@sante-chartres.fr,Chartres,Centre-Val de Loire
C0039,Clinique Chartres 39,clinique,+33 6 34 47 26 97,contact39@sante-chartres.fr,Chartres,Centre-Val de Loire
C0040,Hôpital Leconte de Bourges,hopital,0299928285,contact40@sante-bourges.fr,Bourges,Centre-Val de Loire
C0041,Clinique Nantes 41,clinique,+33 (0)1 75 76 04 41,contact41@sante-nantes.fr,Nantes,Pays de la Loire
C0042,Clinique Angers 42,clinique,0359694694,contact42@sante-angers.fr,Angers,Pays de la Loire
C0043,Clinique Rouen 43,clinique,0248960379,contact43@sante-rouen.fr,Rouen,Normandie
C0044,Clinique Rennes 44,clinique,+33 (0)5 40 57 95 18,contact44@sante-rennes.fr,Rennes,Bretagne
C0045,Hôpital Garnier de Saint-Nazaire,hopital,0141662907,contact45@sante-saint-nazaire.fr,Saint-Nazaire,Pays de la Loire
C0046,Clinique Boulogne-Billancourt 46,clinique,+33 4 71 12 17 97,contact46@sante-boulogne-billancourt.fr,Boulogne-Billancourt,Île-de-France
C0047,District Sanitaire de Lyon,district_sanitaire,0181601173,contact47@sante-lyon.fr,Lyon,Auvergne-Rhône-Alpes
C0048,Clinique Alençon 48,clinique,+33 (0)3 39 89 81 86,contact48@sante-alençon.fr,Alençon,Normandie
C0049,District Sanitaire de La Roche-sur-Yon,district_sanitaire,+33 (0)4 77 61 01 75,contact49@sante-la-roche-sur-yon.fr,La Roche-sur-Yon,Pays de la Loire
C0050,Clinique Dijon 50,clinique,+33 (0)4 34 68 84 76,contact50@sante-dijon.fr,Dijon,Bourgogne-Franche-Comté
C0051,Clinique Caen 51,clinique,0483042241,contact51@sante-caen.fr,Caen,Normandie
C0052,District Sanitaire de Cherbourg,district_sanitaire,02 37 72 70 95,contact52@sante-cherbourg.fr,Cherbourg,Normandie
C0053,Clinique Bordeaux 53,clinique,+33 4 95 52 95 63,contact53@sante-bordeaux.fr,Bordeaux,Nouvelle-Aquitaine
C0054,District Sanitaire de Clermont-Ferrand,district_sanitaire,+33 (0)8 04 59 09 39,contact54@sante-clermont-ferrand.fr,Clermont-Ferrand,Auvergne-Rhône-Alpes
C0055,District Sanitaire de Annecy,district_sanitaire,0493987609,contact55@sante-annecy.fr,Annecy,Auvergne-Rhône-Alpes
C0056,Hôpital Lefèvre de Bordeaux,hopital,0449326809,contact56@sante-bordeaux.fr,Bordeaux,Nouvelle-Aquitaine
C0057,Clinique Mâcon 57,clinique,0473557873,contact57@sante-mâcon.fr,Mâcon,Bourgogne-Franche-Comté
C0058,District Sanitaire de Vannes,district_sanitaire,01 48 74 93 44,contact58@sante-vannes.fr,Vannes,Bretagne
C0059,Clinique Poitiers 59,clinique,+33 4 99 13 24 63,contact59@sante-poitiers.fr,Poitiers,Nouvelle-Aquitaine
C0060,Clinique Dunkerque 60,clinique,+33 2 36 94 76 57,contact60@sante-dunkerque.fr,Dunkerque,Hauts-de-France
C0061,Hôpital Mercier de Mulhouse,hopital,01 55 71 18 84,contact61@sante-mulhouse.fr,Mulhouse,Grand Est
C0062,Hôpital Georges de Bourges,hopital,01 70 85 74 79,contact62@sante-bourges.fr,Bourges,Centre-Val de Loire
C0063,District Sanitaire de Strasbourg,district_sanitaire,0389889277,contact63@sante-strasbourg.fr,Strasbourg,Grand Est
C0064,Clinique Blois 64,clinique,01 69 04 59 88,contact64@sante-blois.fr,Blois,Centre-Val de Loire
C0065,Hôpital Roger de Valenciennes,hopital,01 43 29 56 07,contact65@sante-valenciennes.fr,Valenciennes,Hauts-de-France
C0066,District Sanitaire de Strasbourg,district_sanitaire,+33 5 40 84 98 39,contact66@sante-strasbourg.fr,Strasbourg,Grand Est
C0067,Clinique Tours 67,clinique,03 55 44 11 83,contact67@sante-tours.fr,Tours,Centre-Val de Loire
C0068,Hôpital Faure de Dunkerque,hopital,02 77 75 94 48,contact68@sante-dunkerque.fr,Dunkerque,Hauts-de-France
C0069,Clinique Rouen 69,clinique,+33 4 89 78 14 25,contact69@sante-rouen.fr,Rouen,Normandie
C0070,District Sanitaire de Lorient,district_sanitaire,+33 2 36 37 21 45,contact70@sante-lorient.fr,Lorient,Bretagne
C0071,District Sanitaire de Reims,district_sanitaire,+33 (0)2 32 03 10 55,contact71@sante-reims.fr,Reims,Grand Est
C0072,Hôpital Rousset de Auxerre,hopital,0383064734,contact72@sante-auxerre.fr,Auxerre,Bourgogne-Franche-Comté
C0073,District Sanitaire de Blois,district_sanitaire,04 80 37 81 18,contact73@sante-blois.fr,Blois,Centre-Val de Loire
C0074,Clinique Strasbourg 74,clinique,01 83 48 76 97,contact74@sante-strasbourg.fr,Strasbourg,Grand Est
C0075,Hôpital Noël de Amiens,hopital,0252401005,contact75@sante-amiens.fr,Amiens,Hauts-de-France
C0076,Hôpital Delmas de Nancy,hopital,+33 1 48 74 26 52,contact76@sante-nancy.fr,Nancy,Grand Est
C0077,Hôpital Michaud de Montpellier,hopital,0561774000,contact77@sante-montpellier.fr,Montpellier,Occitanie
C0078,Hôpital Pinto de Clermont-Ferrand,hopital,04 90 97 70 04,contact78@sante-clermont-ferrand.fr,Clermont-Ferrand,Auvergne-Rhône-Alpes
C0079,District Sanitaire de Vannes,district_sanitaire,02 45 71 32 30,contact79@sante-vannes.fr,Vannes,Bretagne
C0080,District Sanitaire de Rennes,district_sanitaire,+33 4 98 52 62 95,contact80@sante-rennes.fr,Rennes,Bretagne
C0081,Hôpital Lefebvre de Mulhouse,hopital,02 30 29 13 97,contact81@sante-mulhouse.fr,Mulhouse,Grand Est
C0082,Hôpital Ruiz de Cherbourg,hopital,+33 4 63 09 23 23,contact82@sante-cherbourg.fr,Cherbourg,Normandie
C0083,District Sanitaire de Limoges,district_sanitaire,04 56 35 17 75,contact83@sante-limoges.fr,Limoges,Nouvelle-Aquitaine
C0084,District Sanitaire de Caen,district_sanitaire,+33 5 55 57 45 79,contact84@sante-caen.fr,Caen,Normandie
C0085,Clinique Nantes 85,clinique,+33 (0)3 28 99 51 58,contact85@sante-nantes.fr,Nantes,Pays de la Loire
C0086,Clinique Reims 86,clinique,0518634060,contact86@sante-reims.fr,Reims,Grand Est
C0087,District Sanitaire de Le Havre,district_sanitaire,+33 (0)3 87 87 38 50,contact87@sante-le-havre.fr,Le Havre,Normandie
C0088,District Sanitaire de Le Mans,district_sanitaire,04 15 07 81 13,contact88@sante-le-mans.fr,Le Mans,Pays de la Loire
C0089,Clinique Nîmes 89,clinique,+33 2 45 67 91 81,contact89@sante-nîmes.fr,Nîmes,Occitanie
C0090,District Sanitaire de Nîmes,district_sanitaire,+33 3 10 72 93 63,contact90@sante-nîmes.fr,Nîmes,Occitanie
C0091,Clinique Cherbourg 91,clinique,+33 (0)2 30 51 18 80,contact91@sante-cherbourg.fr,Cherbourg,Normandie
C0092,District Sanitaire de Dunkerque,district_sanitaire,01 73 09 39 74,contact92@sante-dunkerque.fr,Dunkerque,Hauts-de-France
C0093,Hôpital Chrétien de Lorient,hopital,+33 (0)5 08 34 12 40,contact93@sante-lorient.fr,Lorient,Bretagne
