id_commande,code_client,date_commande,mois,annee,type_commande,statut,date_approbation,date_livraison_prevue,date_livraison_effective
1,C0001,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-16,2023-01-20
2,C0002,2023-01-04,1,2023,urgente,livree,2023-01-08,2023-01-15,2023-01-18
3,C0003,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-13,2023-01-13
4,C0004,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-13,2023-01-12
5,C0005,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-18,2023-01-19
6,C0006,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-10,2023-01-12
7,C0007,2023-01-04,1,2023,urgente,approuvee,2023-01-07,2023-01-12,
8,C0008,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-12,2023-01-11
9,C0009,2023-01-04,1,2023,urgente,livree,2023-01-07,2023-01-12,2023-01-15
10,C0010,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-12,2023-01-14
11,C0011,2023-01-04,1,2023,normale,approuvee,2023-01-05,2023-01-14,
12,C0012,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-15,2023-01-14
13,C0013,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-11,2023-01-12
14,C0014,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-16,2023-01-19
15,C0015,2023-01-04,1,2023,normale,livree,2023-01-07,2023-01-12,2023-01-11
16,C0016,2023-01-04,1,2023,normale,approuvee,2023-01-06,2023-01-16,
17,C0017,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-11,2023-01-13
18,C0018,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-09,2023-01-11
19,C0019,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-15,2023-01-18
20,C0020,2023-01-04,1,2023,urgente,livree,2023-01-06,2023-01-16,2023-01-14
21,C0021,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-08,2023-01-08
22,C0022,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-09,2023-01-13
23,C0023,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-13,2023-01-17
24,C0024,2023-01-04,1,2023,urgente,livree,2023-01-08,2023-01-13,2023-01-17
25,C0025,2023-01-04,1,2023,normale,livree,2023-01-05,2023-01-12,2023-01-17
26,C0026,2023-01-04,1,2023,normale,livree,2023-01-06,2023-01-16,2023-01-14
27,C0027,2023-01-04,1,2023,normale,livree,2023-01-08,2023-01-14,2023-01-19
