id_ligne,id_commande,code_produit,numero_lot,quantite_commandee,quantite_livree,taux_satisfaction,montant
1,1,CA00020,LOT10074,433,339,0.7829,15892479.33
2,1,MN00009,LOT54396,238,199,0.8361,4957921.82
3,1,AP00021,LOT79531,347,243,0.7003,9460629.09
4,1,PA00002,LOT62296,425,309,0.7271,15028326.24
5,1,MC00016,LOT53357,375,337,0.8987,6252330.67
6,1,PP00022,LOT25915,82,76,0.9268,1557094.08
7,2,TU00021,LOT16826,486,410,0.8436,7315728.4
8,2,MM00009,LOT15720,399,370,0.9273,1202944.0
9,2,MM00016,LOT68153,370,346,0.9351,8137750.46
10,2,PA00012,LOT73092,113,110,0.9735,961530.9
11,2,MM00013,LOT62098,283,198,0.6996,9492824.88
12,3,PA00002,LOT62296,240,215,0.8958,7051279.75
13,3,MN00014,LOT95097,76,62,0.8158,990136.9
14,3,MC00005,LOT15383,408,378,0.9265,8328216.96
15,3,SI00021,LOT65108,96,87,0.9062,91631.01
16,3,CA00022,LOT19071,294,212,0.7211,6379143.6
17,4,AP00002,LOT96646,95,87,0.9158,523646.91
18,4,PA00012,LOT73092,210,170,0.8095,2662796.7
19,4,PP00013,LOT89129,245,228,0.9306,8642278.44
20,4,CA00019,LOT89818,118,105,0.8898,3588870.6
21,4,SI00015,LOT53404,85,73,0.8588,103313.98
22,4,MC00011,LOT37802,382,286,0.7487,5207545.2
23,5,PA00004,LOT92719,113,99,0.8761,1961938.44
24,5,PA00014,LOT96752,269,213,0.7918,1672407.84
25,5,AP00017,LOT82910,191,170,0.8901,2237230.6
26,6,MM00001,LOT82199,432,353,0.8171,11529798.96
27,6,MN00002,LOT12875,451,437,0.969,20879379.3
28,6,PP00021,LOT36680,303,247,0.8152,3164813.47
29,6,SI00005,LOT15778,376,330,0.8777,8872393.2
30,7,MM00014,LOT92155,440,103,0.2341,5086237.85
31,7,MC00020,LOT49618,87,0,0.0,0.0
32,7,MC00006,LOT11658,184,19,0.1033,877921.41
33,7,MM00008,LOT52176,454,90,0.1982,1353411.0
34,7,MN00021,LOT41925,414,103,0.2488,2199685.51
35,7,SI00001,LOT90173,409,82,0.2005,2655679.06
36,8,SI00009,LOT56357,440,418,0.95,14367383.14
37,8,PA00018,LOT87924,83,65,0.7831,1458393.3
38,8,MM00006,LOT47072,483,372,0.7702,4828377.72
39,8,TU00018,LOT83975,272,199,0.7316,6169505.46
40,8,MC00013,LOT82768,78,61,0.7821,2277921.78
41,8,MM00019,LOT99539,429,322,0.7506,521826.76
42,8,MN00009,LOT54396,120,109,0.9083,984030.2
43,9,AP00016,LOT23579,444,430,0.9685,7488682.2
44,9,TU00003,LOT40784,269,210,0.7807,867243.3
45,9,AP00012,LOT22463,414,410,0.9903,13017135.1
46,9,PA00009,LOT42591,304,254,0.8355,4736101.78
47,10,MM00015,LOT39817,109,83,0.7615,2152390.86
48,10,MN00019,LOT17936,72,68,0.9444,108944.16
